  55.0     5.940E-07    1.155E+14      6.479E+10      0.000E+00       0.000E+00         9.654E+15         0.000E+00        2.590E+15
  56.0     5.274E-07    1.025E+14      5.753E+10      0.000E+00       0.000E+00         8.573E+15         0.000E+00        2.300E+15
  57.0     4.682E-07    9.102E+13      5.107E+10      0.000E+00       0.000E+00         7.610E+15         0.000E+00        2.041E+15
  58.0     4.153E-07    8.074E+13      4.530E+10      0.000E+00       0.000E+00         6.750E+15         0.000E+00        1.811E+15
  59.0     3.680E-07    7.154E+13      4.014E+10      0.000E+00       0.000E+00         5.981E+15         0.000E+00        1.604E+15
  60.0     3.256E-07    6.330E+13      3.551E+10      0.000E+00       0.000E+00         5.292E+15         0.000E+00        1.420E+15
  61.0     2.876E-07    5.592E+13      3.137E+10      0.000E+00       0.000E+00         4.675E+15         0.000E+00        1.254E+15
  62.0     2.536E-07    4.930E+13      2.766E+10      0.000E+00       0.000E+00         4.122E+15         0.000E+00        1.106E+15
  63.0     2.231E-07    4.334E+13      2.435E+10      0.000E+00       0.000E+00         3.627E+15         0.000E+00        9.728E+14
  64.0     1.959E-07    3.797E+13      2.140E+10      0.000E+00       0.000E+00         3.184E+15         0.000E+00        8.538E+14
  65.0     1.715E-07    3.319E+13      1.877E+10      0.000E+00       0.000E+00         2.789E+15         0.000E+00        7.476E+14
  66.0     1.499E-07    2.894E+13      1.641E+10      0.000E+00       0.000E+00         2.437E+15         0.000E+00        6.529E+14
  67.0     1.306E-07    2.517E+13      1.432E+10      0.000E+00       0.000E+00         2.124E+15         0.000E+00        5.688E+14
  68.0     1.135E-07    2.183E+13      1.246E+10      0.000E+00       0.000E+00         1.846E+15         0.000E+00        4.943E+14
  69.0     9.839E-08    1.889E+13      1.082E+10      0.000E+00       0.000E+00         1.600E+15         0.000E+00        4.284E+14
  70.0     8.508E-08    1.630E+13      9.362E+09      0.000E+00       0.000E+00         1.384E+15         0.000E+00        3.703E+14
  71.0     7.338E-08    1.403E+13      8.084E+09      0.000E+00       0.000E+00         1.194E+15         0.000E+00        3.193E+14
  72.0     6.313E-08    1.205E+13      6.963E+09      0.000E+00       0.000E+00         1.027E+15         0.000E+00        2.747E+14
  73.0     5.422E-08    1.033E+13      5.990E+09      3.961E+03       6.310E+04         8.823E+14         3.180E+07        2.358E+14
  74.0     4.644E-08    8.838E+12      5.141E+09      1.375E+04       6.828E+04         7.558E+14         6.926E+07        2.019E+14
  75.0     3.971E-08    7.546E+12      4.406E+09      6.502E+04       7.384E+04         6.463E+14         1.484E+08        1.726E+14
  76.0     3.391E-08    6.434E+12      3.772E+09      3.655E+05       7.981E+04         5.520E+14         3.115E+08        1.473E+14
  77.0     2.892E-08    5.480E+12      3.229E+09      1.995E+06       8.626E+04         4.709E+14         6.370E+08        1.256E+14
  78.0     2.466E-08    4.664E+12      2.763E+09      8.735E+06       9.323E+04         4.016E+14         1.264E+09        1.070E+14
  79.0     2.101E-08    3.967E+12      2.365E+09      2.752E+07       1.008E+05         3.423E+14         2.424E+09        9.110E+13
  80.0     1.791E-08    3.373E+12      2.025E+09      6.151E+07       1.090E+05         2.918E+14         4.481E+09        7.756E+13
  81.0     1.526E-08    2.868E+12      1.736E+09      1.024E+08       1.180E+05         2.487E+14         7.971E+09        6.603E+13
  82.0     1.301E-08    2.439E+12      1.490E+09      1.365E+08       1.278E+05         2.121E+14         1.362E+10        5.622E+13
